severity,type,url,detail
"P1","internal_or_vendor_leak","https://docs.oviond.com/api/data/fetch-resource-data","upstream API"
"P1","thin_page","https://docs.oviond.com/api/data/list-integration-accounts","38 words"
"P1","internal_or_vendor_leak","https://docs.oviond.com/api/data/list-integration-accounts","upstream API"
"P1","thin_page","https://docs.oviond.com/api/data/query-data","37 words"
"P1","internal_or_vendor_leak","https://docs.oviond.com/api/data/query-data","upstream API"
"P1","thin_page","https://docs.oviond.com/api/data/test-connection","37 words"
"P1","internal_or_vendor_leak","https://docs.oviond.com/api/data/test-connection","upstream API"
"P1","thin_page","https://docs.oviond.com/api/email/add-email-domain","37 words"
"P1","internal_or_vendor_leak","https://docs.oviond.com/api/email/add-email-domain","Resend, Vercel"
"P1","thin_page","https://docs.oviond.com/api/email/add-email-sender","37 words"
"P1","thin_page","https://docs.oviond.com/api/email/delete-email-domain","39 words"
"P1","internal_or_vendor_leak","https://docs.oviond.com/api/email/delete-email-domain","Resend"
"P1","destructive_missing_warning","https://docs.oviond.com/api/email/delete-email-domain","Destructive/risky page has no Mintlify Warning component"
"P1","thin_page","https://docs.oviond.com/api/email/delete-smtp-config","35 words"
"P1","destructive_missing_warning","https://docs.oviond.com/api/email/delete-smtp-config","Destructive/risky page has no Mintlify Warning component"
"P1","thin_page","https://docs.oviond.com/api/email/get-email-setup","37 words"
"P1","internal_or_vendor_leak","https://docs.oviond.com/api/email/get-email-setup","Resend"
"P1","thin_page","https://docs.oviond.com/api/email/list-email-logs","32 words"
"P1","thin_page","https://docs.oviond.com/api/email/queue-emails","48 words"
"P1","internal_or_vendor_leak","https://docs.oviond.com/api/email/queue-emails","SQS, Resend"
"P1","thin_page","https://docs.oviond.com/api/email/send-email","34 words"
"P1","internal_or_vendor_leak","https://docs.oviond.com/api/email/send-email","Resend"
"P1","thin_page","https://docs.oviond.com/api/email/test-smtp","37 words"
"P1","thin_page","https://docs.oviond.com/api/email/update-email-setup","33 words"
"P1","thin_page","https://docs.oviond.com/api/email/update-smtp-config","35 words"
"P1","thin_page","https://docs.oviond.com/api/email/verify-email-domain","36 words"
"P1","internal_or_vendor_leak","https://docs.oviond.com/api/email/verify-email-domain","Resend, Vercel"
"P1","thin_page","https://docs.oviond.com/api/folders/create-folder","33 words"
"P1","thin_page","https://docs.oviond.com/api/folders/delete-folder","38 words"
"P1","destructive_missing_warning","https://docs.oviond.com/api/folders/delete-folder","Destructive/risky page has no Mintlify Warning component"
